"","type","simulations","p1","p2","Beta1","Beta2","est_Beta1_mean","est_Beta1_sd","est_Beta1_mean_SE","est_Beta2_mean","est_Beta2_sd","est_Beta2_mean_SE","cov_beta1","cov_beta2","fit_correct","fit_set"
"85","all data","500","-2","0.5","0","0","0.165799735856399","2.164458075058","2.16118383144151","0.0401659821182568","0.543105121051528","0.543692614772927","0.946","0.944","0.002","0.99"
"86","summerised","500","-2","0.5","0","0","0.165586620274576","2.1655594169175","2.16167458811645","0.0401490056503196","0.543305031707822","0.543816564750315","0.946","0.944","0.002","0.994"
"87","all data","500","-2","0.5","1","2","0.857459575803352","2.17292009210941","2.18938896770383","1.95866760582792","0.560307356300981","0.552658825195112","0.962","0.942","0.02","0.966"
"88","summerised","500","-2","0.5","1","2","0.856729000828932","2.17183165666792","2.18930387324052","1.95851145270853","0.559419923200485","0.552637548959525","0.96","0.944","0.02","0.974"
"89","all data","500","-2","0.5","2","1","1.88270184217991","2.0963345634714","2.16640379422332","0.979507708630369","0.541162816702653","0.545796914050437","0.96","0.95","0.012","0.976"
"90","summerised","500","-2","0.5","2","1","1.88290574698922","2.09726702721708","2.16641637195742","0.979679870938042","0.541606473735325","0.545798350941113","0.958","0.948","0.012","0.982"
"91","all data","500","-2","1","0","0","-0.00710985879464354","0.120249300038174","0.119927128111853","-0.114936640448053","1.76869644940315","1.76218200753918","0.948","0.95","0.018","0.978"
"92","summerised","500","-2","1","0","0","-0.00714131673093443","0.120258163620694","0.119908648075744","-0.115524591950425","1.76875676298137","1.76190421675117","0.948","0.95","0.018","0.984"
"93","all data","500","-2","1","1","2","1.99187124586435","0.138900520339882","0.139266014916027","0.906185881825114","1.95782843584056","1.96689220455158","0","0.906","0.072","0.944"
"94","summerised","500","-2","1","1","2","1.99174661629497","0.138529384519302","0.139246628103965","0.906307342895196","1.9577669223416","1.96661800750724","0","0.906","0.074","0.948"
"95","all data","500","-2","1","2","1","0.995807006649654","0.127771527354159","0.130172295687187","1.90971361711978","1.809299866366","1.869292839293","0","0.924","0.05","0.964"
"96","summerised","500","-2","1","2","1","0.995801081250986","0.127894234341707","0.130161521674642","1.9095724034512","1.80904809659955","1.86912427343022","0","0.924","0.05","0.972"
"97","all data","500","-2","2","0","0","0.0226296755409559","1.35614832447731","1.30500369107958","0.000237975497413366","0.0122082533525156","0.0117708427231477","0.934","0.936","0.008","0.994"
"98","summerised","500","-2","2","0","0","0.0225718641707661","1.3551141879976","1.30465539334582","0.000236986373146034","0.0122084520395908","0.0117676898412763","0.934","0.936","0.008","0.994"
"99","all data","500","-2","2","1","2","0.495264959944222","2.79555772144699","2.49633126920953","2.02576747087697","0.0320337434858237","0.0294407908761497","0.922","0.834","0.284","0.944"
"100","summerised","500","-2","2","1","2","0.496432183984283","2.79545471173431","2.49651458861907","2.02604316012329","0.0314038623168363","0.0294431037031361","0.922","0.824","0.294","0.944"
"101","all data","500","-2","2","2","1","1.52595499951384","1.88004259683609","1.856362478634","1.01152190455865","0.0214744333128715","0.0211910589052819","0.948","0.914","0.194","0.956"
"102","summerised","500","-2","2","2","1","1.52573166002556","1.87953581858024","1.85619980884928","1.01148310244411","0.0209892889107845","0.0211891803149726","0.948","0.912","0.204","0.958"
"103","all data","500","-2","3","0","0","0.0915200029675136","1.08631589033908","1.08563914965864","3.86268086553504e-05","0.00140805859399728","0.00149032464125965","0.958","0.958","0.01","0.988"
"104","summerised","500","-2","3","0","0","0.0912303383404002","1.0859083616377","1.08569951289006","3.86472455636074e-05","0.00140762574277377","0.00149041546992245","0.958","0.958","0.086","0.992"
"105","all data","500","-2","3","1","2","-5.00357739823943","8.5832801782158","6.57996638297483","2.05404851990986","0.0248961727888832","0.018338676899112","0.792","0.242","0.312","0.94"
"106","summerised","500","-2","3","1","2","-4.99858461544482","8.5771976075912","6.57793721098217","2.0535090065041","0.0242473898295357","0.0183329474022683","0.792","0.236","0.432","0.96"
"107","all data","500","-2","3","2","1","-1.23272111440403","4.32298278019427","3.54714710275275","1.0267346509717","0.0127454144529598","0.00978244998391188","0.822","0.256","0.33","0.966"
"108","summerised","500","-2","3","2","1","-1.2309325400226","4.32055770691406","3.5455661433674","1.02632314749804","0.0122742683734571","0.00977807758698963","0.822","0.274","0.426","0.98"
"109","all data","500","-1","-3","0","0","0.0326770905113014","2.27000931571209","2.2798111147059","-0.088655731028258","6.11970505116553","6.05953959977162","0.942","0.942","0","0.974"
"110","summerised","500","-1","-3","0","0","0.0327816783990038","2.27014591687241","2.27984443448279","-0.0892405235667235","6.1204790422154","6.05961344447963","0.942","0.942","0","0.984"
"111","all data","500","-1","-3","1","2","1.12873573506311","2.30289918228936","2.29157628171812","1.5582232739492","6.26848470238726","6.09158471478014","0.948","0.942","0","0.986"
"112","summerised","500","-1","-3","1","2","1.12898683728619","2.30089111853008","2.29077918598264","1.55601832655302","6.26328019594837","6.08946762613127","0.948","0.942","0","0.988"
"113","all data","500","-1","-3","2","1","1.92541987180109","2.22911036955908","2.28946750955568","0.915010882844559","5.92716302688667","6.08923390902776","0.956","0.96","0","0.978"
