,type,simulations,p1,p2,Beta1,Beta2,est_Beta1_mean,est_Beta1_sd,est_Beta1_mean_SE,est_Beta2_mean,est_Beta2_sd,est_Beta2_mean_SE,cov_beta1,cov_beta2,fit_correct,fit_set
120,summerised,500,-1,-2,2,1,2.207695783,4.153294783,4.157505003,0.630891532,6.102906749,5.991096776,0.956,0.954,0.022,0.982
121,all data,500,-1,-1,0,0,0.031521833,0.721532183,0.717417487,-0.346092097,3.876716068,3.771424688,0.948,0.948,0.018,0.982
122,summerised,500,-1,-1,0,0,0.031306706,0.721013246,0.716953649,-0.345239809,3.873291995,3.769010576,0.948,0.948,0.022,0.984
123,all data,500,-1,-1,1,2,1.021614504,0.748495105,0.717684824,2.137597427,4.084146297,3.772652547,0.934,0.932,0.016,0.984
124,summerised,500,-1,-1,1,2,1.021507165,0.747958859,0.717610395,2.137836046,4.081354414,3.772281094,0.934,0.932,0.022,0.99
125,all data,500,-1,-1,2,1,1.997325584,0.762818613,0.719579565,0.889907286,3.860585171,3.782097658,0.94,0.946,0.016,0.97
126,summerised,500,-1,-1,2,1,1.996498446,0.762165687,0.71931989,0.890037025,3.859981211,3.780752458,0.942,0.946,0.018,0.974
127,all data,500,-1,-0.5,0,0,0.321987701,7.312748699,7.207738255,-0.369407707,8.440732048,8.315761186,0.952,0.954,0.012,0.974
128,summerised,500,-1,-0.5,0,0,0.321952155,7.314023771,7.207177848,-0.369525376,8.44187127,8.315112064,0.952,0.954,0.016,0.984
129,all data,500,-1,-0.5,1,2,1.101985166,7.396630052,7.26254348,1.837150497,8.521695981,8.379135183,0.952,0.942,0.006,0.978
130,summerised,500,-1,-0.5,1,2,1.101841186,7.394200826,7.260399342,1.836370412,8.518501481,8.376665803,0.952,0.944,0.008,0.986
131,all data,500,-1,-0.5,2,1,1.866150198,7.100842375,7.234606205,1.092717142,8.207887322,8.348281196,0.956,0.96,0,0.982
132,summerised,500,-1,-0.5,2,1,1.865922883,7.097855178,7.234214324,1.092855161,8.204688245,8.347836718,0.956,0.96,0,0.986
133,all data,500,-1,0,0,0,-0.176396784,3.534524309,3.462912343,-0.061421119,1.141778962,1.132300593,0.958,0.962,0,0.984
134,summerised,500,-1,0,0,0,-0.17535816,3.531573687,3.462184499,-0.060977362,1.140998114,1.132062639,0.958,0.962,0,0.99
135,all data,500,-1,0,1,2,1.104148206,3.448528806,3.487629308,2.032948456,1.121783352,1.140686731,0.952,0.946,0.002,0.97
136,summerised,500,-1,0,1,2,1.103594025,3.444582165,3.485010196,2.031643668,1.120721145,1.139831531,0.952,0.946,0.002,0.976
137,all data,500,-1,0,2,1,1.818471521,3.790671694,3.48203328,0.94689922,1.219653605,1.138706104,0.918,0.918,0,0.986
138,summerised,500,-1,0,2,1,1.81744087,3.790433496,3.480349879,0.946459672,1.219554296,1.138157349,0.918,0.918,0,0.996
139,all data,500,-1,0.5,0,0,0.10909792,2.254969687,2.221197001,0.027358543,0.792244134,0.806126619,0.95,0.948,0,0.986
140,summerised,500,-1,0.5,0,0,0.109950994,2.254290997,2.22085374,0.027582205,0.791940456,0.80600206,0.95,0.948,0,0.996
141,all data,500,-1,0.5,1,2,1.009602182,2.342603986,2.26751385,1.989534979,0.844960718,0.824120859,0.948,0.948,0.004,0.962
142,summerised,500,-1,0.5,1,2,1.009221164,2.341767304,2.266843908,1.989099004,0.844640001,0.823877914,0.948,0.946,0.004,0.964
143,all data,500,-1,0.5,2,1,1.921412206,2.280249245,2.224586071,0.996352236,0.820699674,0.807908893,0.946,0.952,0.002,0.976
144,summerised,500,-1,0.5,2,1,1.920900064,2.280049883,2.224585159,0.996141974,0.820393322,0.807910215,0.946,0.952,0.002,0.98
145,all data,500,-1,1,0,0,0.006184707,0.156038894,0.158617837,0.059643637,1.610472513,1.617597325,0.95,0.95,0.002,0.984
146,summerised,500,-1,1,0,0,0.006185092,0.156147081,0.158652132,0.059489852,1.61150096,1.617950152,0.95,0.95,0.002,0.992
147,all data,500,-1,1,1,2,1.998006449,0.187031185,0.192581227,0.925354526,1.840929536,1.888910624,0,0.91,0.004,0.96
148,summerised,500,-1,1,1,2,1.997788212,0.186885626,0.19255118,0.925197037,1.840931698,1.888612285,0,0.91,0.004,0.962
149,all data,500,-1,1,2,1,1.014657761,0.167327668,0.174248806,2.159448911,1.677342559,1.73866761,0,0.902,0.012,0.958
150,summerised,500,-1,1,2,1,1.014882286,0.16717089,0.174281647,2.159782476,1.676742078,1.738995065,0,0.902,0.012,0.966
151,all data,500,-1,2,0,0,0.049572595,1.043490692,1.053329264,-0.000218994,0.013670271,0.013688571,0.954,0.958,0.002,0.982
152,summerised,500,-1,2,0,0,0.049418882,1.04358292,1.052695911,-0.000219224,0.013667696,0.013680325,0.954,0.958,0.002,0.99
153,all data,500,-1,2,1,2,0.305527439,2.384926972,2.202396718,2.019482095,0.040350834,0.037438371,0.924,0.866,0.014,0.946
154,summerised,500,-1,2,1,2,0.306578449,2.385137961,2.202851104,2.020003683,0.040264057,0.037446144,0.922,0.874,0.014,0.946
155,all data,500,-1,2,2,1,1.572703756,1.636469324,1.627451879,1.009201131,0.026846093,0.026621027,0.934,0.93,0.02,0.974
156,summerised,500,-1,2,2,1,1.572597092,1.636128331,1.62741804,1.009218074,0.026463059,0.02662058,0.934,0.946,0.02,0.974
157,all data,500,-1,3,0,0,-0.062304036,0.84418175,0.819283914,-0.000129958,0.001651989,0.001622753,0.952,0.946,0.002,0.994
158,summerised,500,-1,3,0,0,-0.062273085,0.843660478,0.818881859,-0.000129676,0.001651179,0.00162195,0.952,0.946,0.016,0.996
159,all data,500,-1,3,1,2,-4.538442538,6.909246202,5.5376334,2.04825182,0.028745133,0.021978997,0.794,0.39,0.012,0.948
160,summerised,500,-1,3,1,2,-4.536819708,6.905889495,5.537847128,2.048403633,0.027996608,0.021979868,0.794,0.384,0.014,0.96
161,all data,500,-1,3,2,1,-0.585953145,3.562558242,2.983574044,1.025130106,0.014794228,0.011701087,0.832,0.42,0.014,0.946
162,summerised,500,-1,3,2,1,-0.584385117,3.563679204,2.983447459,1.025109324,0.014552608,0.011700575,0.832,0.414,0.022,0.974
163,all data,500,-0.5,-3,0,0,-0.061002041,1.993908034,2.055512695,0.142293432,4.656815093,4.737737866,0.962,0.96,0,0.978
164,summerised,500,-0.5,-3,0,0,-0.060683336,1.9932235,2.055333772,0.141323178,4.655938327,4.737322279,0.962,0.96,0,0.984
165,all data,500,-0.5,-3,1,2,0.990202386,2.006027459,2.039141616,1.960293974,4.508077914,4.698246115,0.938,0.962,0,0.982
166,summerised,500,-0.5,-3,1,2,0.990092941,2.005087015,2.039176491,1.960370577,4.505694903,4.698332159,0.938,0.962,0,0.984
167,all data,500,-0.5,-3,2,1,1.976286513,2.062924168,2.039341337,0.990359182,4.900725435,4.702372056,0.942,0.934,0,0.982
168,summerised,500,-0.5,-3,2,1,1.976832507,2.062882884,2.039351341,0.988907714,4.899821505,4.702389949,0.942,0.934,0,0.984
169,all data,500,-0.5,-2,0,0,-0.090766243,3.05957941,3.086532688,0.190671101,3.863221411,3.855960307,0.962,0.958,0.002,0.984
170,summerised,500,-0.5,-2,0,0,-0.091134171,3.059455345,3.085843816,0.190889735,3.862675673,3.855096227,0.962,0.958,0.002,0.994
171,all data,500,-0.5,-2,1,2,1.004513127,3.12914002,3.079323244,1.920202122,3.935546756,3.845174409,0.938,0.934,0.004,0.978
172,summerised,500,-0.5,-2,1,2,1.004362019,3.127698617,3.078901307,1.920151528,3.933878073,3.844645031,0.938,0.934,0.004,0.98
173,all data,500,-0.5,-2,2,1,1.990008571,3.09804177,3.083687814,0.943547996,3.990161845,3.850912438,0.942,0.936,0.008,0.978
174,summerised,500,-0.5,-2,2,1,1.989600376,3.095178741,3.082759554,0.942985667,3.986681663,3.849754334,0.942,0.936,0.008,0.978
175,all data,500,-0.5,-1,0,0,0.549931324,8.041100995,8.302742731,-0.466943976,7.021654621,7.197692449,0.954,0.954,0.014,0.98
176,summerised,500,-0.5,-1,0,0,0.551160853,8.038424318,8.300635192,-0.468050999,7.019259238,7.195865205,0.954,0.954,0.014,0.994
177,all data,500,-0.5,-1,1,2,1.515578184,8.974575219,8.37962989,1.539105445,7.792621566,7.26271433,0.944,0.94,0.008,0.988
178,summerised,500,-0.5,-1,1,2,1.516162681,8.97625224,8.379969456,1.538690198,7.79398859,7.263005502,0.944,0.94,0.008,0.992
179,all data,500,-0.5,-1,2,1,1.72415218,8.772330513,8.391872755,1.176349352,7.638091006,7.272558034,0.934,0.94,0.006,0.97
